Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t5
526.358198485,1076.96
526.368191002,1045.1200000000001
526.378157284,1067.68
526.388128049,1039.2
526.398199834,1065.6
526.408160224,1049.6
526.418152382,1069.28
526.428141898,1064.48
526.43816354,1068.48
526.448157197,1080.48
526.458198215,1071.68
526.46815148,1083.3600000000001
526.478161139,1062.56
526.488139154,1090.72
526.498182187,1055.68
526.508289582,1082.88
526.518164361,1050.72
526.528161628,1078.56
526.538177146,1062.56
526.548163302,1078.24
526.558205836,1064.0
526.568161977,1078.56
526.578207369,1080.16
526.5881374,1079.84
526.598175542,1090.24
526.608169059,1073.28
526.618168341,1093.1200000000001
526.628176359,1065.6
526.638176391,1088.48
526.648178283,1058.88
526.658190065,1081.76
526.668173831,1057.28
526.678182848,1080.16
526.688164505,1062.88
526.698217897,1085.1200000000001
526.708399182,1075.84
526.718167442,1076.48
526.728166473,1087.84
526.738166364,1080.48
526.748199629,1097.76
526.758218911,1075.3600000000001
526.768160675,1095.04
526.778172706,1062.88
526.788160471,1088.48
526.798221379,1071.68
526.808191394,1087.3600000000001
526.818339928,1084.48
526.828391195,1090.72
526.8383726,1100.64
526.848193487,1089.1200000000001
526.858244628,1106.24
526.868183783,1083.3600000000001
526.878206548,1102.24
526.888177063,1073.76
526.89823047,1104.32
526.908358004,1075.3600000000001
526.918194125,1091.04
526.928394787,1085.76
526.938188812,1097.44
526.948417349,1102.24
526.958219594,1095.04
526.968189999,1108.64
526.978203765,1089.1200000000001
526.988179655,1113.6000000000001
526.998207437,1087.84
527.008235343,1099.3600000000001
527.018192608,1084.16
527.028215748,1107.3600000000001
527.038193654,1096.64
527.048214795,1096.64
527.058223686,1113.6000000000001
527.068210466,1105.1200000000001
527.078241623,1117.6000000000001
527.088202137,1080.48
527.098252154,1109.1200000000001
527.10824831,1082.88
527.118188448,1101.44
527.128202464,1087.3600000000001
527.138204495,1104.64
527.148211636,1118.72
527.158243418,1103.04
527.168207308,1117.6000000000001
527.178218714,1090.72
527.188184979,1119.2
527.19825087,1084.16
527.208204651,1107.3600000000001
527.218202665,1089.44
527.228199071,1108.64
527.238207337,1111.04
527.248206118,1106.24
527.258226634,1119.2
527.268204024,1109.1200000000001
527.278227055,1114.24
527.288196194,1085.1200000000001
527.298249978,1107.3600000000001
527.308218617,1089.1200000000001
527.318252524,1116.64
527.328221663,1096.32
527.338205553,1112.64
527.34822196,1128.0
527.358264617,1101.44
527.368213631,1129.6000000000001
527.378232147,1098.72
527.388208677,1117.92
527.398263944,1093.76
527.408225208,1113.6000000000001
527.418209489,1113.92
527.42821438,1124.0
527.438228161,1130.72
527.448223426,1104.32
527.458241958,1130.72
527.468201222,1099.3600000000001
527.478237738,1128.0
527.488209894,1101.44
527.498272801,1111.52
527.508249066,1120.32
527.518245706,1113.92
527.528229987,1127.52
527.538222877,1103.04
527.548233143,1133.1200000000001
527.558254675,1100.32
527.568207813,1124.0
527.578250471,1100.64
527.58822561,1121.92
527.598273268,1132.0
527.608240407,1123.2
527.618237798,1140.48
527.628242954,1105.1200000000001
527.638252595,1130.4
527.648252875,1103.3600000000001
527.658255641,1127.52
527.668225796,1130.72
527.678245437,1127.52
527.688219327,1138.72
527.698246984,1129.6000000000001
527.70824925,1135.52
527.718246532,1105.92
527.728233798,1127.52
527.738226829,1108.32
527.748249846,1134.08
527.758263111,1139.2
527.768226018,1126.4
527.778253159,1141.1200000000001
527.78822594,1115.52
527.798250707,1140.0
527.808258113,1107.04
527.818362632,1130.4
527.828466541,1134.4
527.838261177,1129.6000000000001
527.848254317,1144.8
