Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t7
133.146504363,0.0
133.156491763,0.0
133.166490773,0.0
133.176488469,0.0
133.18649337,0.0
133.196491364,0.0
133.206492374,0.0
133.216486882,0.0
133.226495674,0.0
133.236494074,0.0
133.246494084,0.0
133.256488577,0.0
133.266491681,0.0
133.276492082,0.0
133.286490481,0.0
133.296489991,0.0
133.306490797,0.0
133.316491197,0.0
133.326494286,0.0
133.336490701,0.0
133.346503196,0.0
133.356495299,0.0
133.366487699,0.0
133.376488599,0.0
133.386489812,0.0
133.396492806,0.0
133.4064898,0.0
133.416487606,0.0
133.426494006,0.0
133.436493016,0.0
133.446491416,0.0
133.45649102,0.0
133.46648931,0.0
133.476491711,0.0
133.486491517,0.0
133.496489917,0.0
133.506493021,0.0
133.516492218,0.0
133.526493931,0.0
133.536488722,0.0
133.546502029,0.0
133.556492928,0.0
133.566489532,0.0
133.576488838,0.0
133.586489942,0.0
133.596489732,0.0
133.606489742,0.0
133.616490642,0.0
133.626495449,0.0
133.636494646,0.0
133.64650375,0.0
133.65649165,0.0
133.666491253,0.0
133.676493653,0.0
133.686491944,0.0
133.696490563,0.0
133.706490557,0.0
133.71649466,0.0
133.726496358,0.0
133.73649257,0.0
133.746500158,0.0
133.756496668,0.0
133.766494771,0.0
133.776495671,0.0
133.786502776,0.0
133.796510379,0.0
133.806654407,0.0
133.81650357,0.0
133.826506174,0.0
133.836502183,0.0
133.846514288,0.0
133.856516376,0.0
133.866490683,0.0
133.876494287,0.0
133.886494798,0.0
133.896490199,0.0
133.906492991,0.0
133.916501205,0.0
133.926495809,0.0
133.9364911,0.0
133.946490798,0.0
133.956493606,0.0
133.966487819,0.0
133.976492721,0.0
133.986491512,0.0
133.996492523,0.0
134.006491627,0.0
134.016488919,0.0
134.026494227,0.0
134.036520128,0.0
134.046501826,0.0
134.056493133,0.0
134.06649044,0.0
134.076523842,0.0
134.086492743,0.0
134.096493035,0.0
134.106491951,0.0
134.11649215,0.0
134.126494754,0.0
134.136488951,0.0
134.14650876,0.0
134.156493754,0.0
134.166492764,0.0
134.176488759,0.0
134.186493973,0.0
134.196492577,0.0
134.206496666,0.0
134.216488379,0.0
134.226498984,0.0
134.236492181,0.0
134.246514584,0.0
134.256506687,0.0
134.266503791,0.0
134.276492099,0.0
134.286505797,0.0
134.296488792,0.0
134.306507599,0.0
134.316491609,0.0
134.326510402,0.0
134.336491208,0.0
134.346505501,0.0
134.356493417,0.0
134.366492115,0.0
134.376489017,0.0
134.386492918,0.0
134.396493022,0.0
134.406490033,0.0
134.41648973,0.0
134.426495928,0.0
134.436492329,0.0
134.446502137,0.0
134.456489835,0.0
134.466493033,0.0
134.476492341,0.0
134.486491851,0.0
134.496488956,0.0
134.506492247,0.0
134.516491648,0.0
134.526496361,0.0
134.536489466,0.0
134.546503867,0.0
134.556492956,0.0
134.566490076,0.0
134.576490868,0.0
134.586491972,0.0
134.596492076,0.0
134.606492367,0.0
134.616490284,0.0
134.626498185,0.0
134.63649268,0.0
134.646502582,0.0
134.656493295,0.0
134.666490587,0.0
134.676494301,0.0
134.686493796,0.0
134.696491104,0.0
134.706492707,0.0
134.716495108,0.0
134.726495306,0.0
134.736493004,0.0
134.746504421,0.0
134.75650851,0.0
134.766513224,0.0
134.776505313,0.0
134.78650362,0.0
134.796520334,0.0
134.806681177,0.0
134.816508136,0.0
134.826504725,0.0
134.836505845,0.0
134.846517046,0.0
134.85651695,0.0
134.866494244,0.0
134.876493758,0.0
134.886492958,0.0
134.896491269,0.0
134.906494267,0.0
134.916501186,0.0
134.92649898,0.0
134.936490885,0.0
134.946493694,0.0
134.956494505,0.0
134.966491706,0.0
134.976494015,0.0
134.98649281,0.0
134.996492324,0.0
135.00649443,0.0
135.016490241,0.0
135.026497145,0.0
135.036497251,0.0
135.046500046,0.0
135.05649545,0.0
135.066491463,0.0
135.076502477,0.0
135.086494068,0.0
