Time,CAN2_TCM_C02_Clutch_Cval_PT_t3,CAN2_TCM_C02_Clutch_Stat_TCM_PT_t3
57.593883854,96.0,2.0
57.603939966,94.80000000000001,2.0
57.613890309,95.2,2.0
57.623974439,95.60000000000001,2.0
57.633875782,95.60000000000001,2.0
57.643920144,95.2,2.0
57.653926505,95.60000000000001,2.0
57.66392385,95.60000000000001,2.0
57.673917211,96.0,2.0
57.683931572,95.2,2.0
57.693893166,95.60000000000001,2.0
57.70395992,95.60000000000001,2.0
57.713898138,95.60000000000001,2.0
57.723988252,95.60000000000001,2.0
57.733901611,95.60000000000001,2.0
57.743939457,95.2,2.0
57.753926442,95.60000000000001,2.0
57.763957179,95.60000000000001,2.0
57.773924915,95.2,2.0
57.783946401,95.2,2.0
57.79391137,96.0,2.0
57.803967857,95.60000000000001,2.0
57.813907967,95.60000000000001,2.0
57.823983081,95.60000000000001,2.0
57.833903048,95.60000000000001,2.0
57.843941285,96.0,2.0
57.853943396,96.0,2.0
57.863955257,95.60000000000001,2.0
57.873927852,95.60000000000001,2.0
57.884053608,95.60000000000001,2.0
57.893830821,96.0,2.0
57.903972936,95.60000000000001,2.0
57.913906545,95.60000000000001,2.0
57.92400391,95.60000000000001,2.0
57.933921877,96.0,2.0
57.943964114,95.2,2.0
57.95395635,95.2,2.0
57.963965336,95.2,2.0
57.973948931,95.60000000000001,2.0
57.983974418,95.2,2.0
57.993932027,95.60000000000001,2.0
58.00398889,95.60000000000001,2.0
58.013926609,95.60000000000001,2.0
58.024008597,95.60000000000001,2.0
58.03392358,95.2,2.0
58.043960442,95.2,2.0
58.053950913,95.60000000000001,2.0
58.063961274,95.60000000000001,2.0
58.073958135,95.60000000000001,2.0
58.083969871,95.60000000000001,2.0
58.093927231,95.60000000000001,2.0
58.103993703,95.60000000000001,2.0
58.113924437,95.2,2.0
58.12401105,95.2,2.0
58.133932393,95.2,2.0
58.144146526,95.2,2.0
58.154004618,95.60000000000001,2.0
58.164006104,95.2,2.0
58.173964338,95.2,2.0
58.1839847,95.60000000000001,2.0
58.193946294,96.4,2.0
58.204013532,95.2,2.0
58.213948266,95.2,2.0
58.224030254,95.2,2.0
58.233949222,95.2,2.0
58.24399521,95.60000000000001,2.0
58.253972945,95.60000000000001,2.0
58.263986056,96.0,2.0
58.273971167,96.4,2.0
58.283987137,96.4,2.0
58.293944623,95.60000000000001,2.0
58.304015485,95.2,2.0
58.313954579,95.2,2.0
58.324036333,95.2,2.0
58.333947925,95.2,2.0
58.343989288,95.60000000000001,2.0
58.353976524,95.60000000000001,2.0
58.363995744,95.60000000000001,2.0
58.373976354,94.80000000000001,2.0
58.383991465,95.2,2.0
58.393947076,95.60000000000001,2.0
58.404030689,95.60000000000001,2.0
58.413964532,95.2,2.0
58.424054662,95.60000000000001,2.0
58.433974004,95.60000000000001,2.0
58.444018367,95.60000000000001,2.0
58.454000353,96.0,2.0
58.464012823,95.2,2.0
58.474004433,95.60000000000001,2.0
58.484015169,95.60000000000001,2.0
58.493964764,95.60000000000001,2.0
58.504036518,95.60000000000001,2.0
58.513965736,95.60000000000001,2.0
58.524057099,95.60000000000001,2.0
58.533954207,95.60000000000001,2.0
58.544008554,95.60000000000001,2.0
58.553992165,95.60000000000001,2.0
58.564010776,95.2,2.0
58.573994761,95.2,2.0
58.584014498,95.2,2.0
58.593977593,95.60000000000001,2.0
58.604044705,95.60000000000001,2.0
58.613972187,95.60000000000001,2.0
58.624045922,96.0,2.0
58.633970013,95.60000000000001,2.0
58.644028748,95.2,2.0
58.654018605,95.60000000000001,2.0
58.664029464,96.0,2.0
58.674000556,95.60000000000001,2.0
58.684038181,95.60000000000001,2.0
58.693976897,95.60000000000001,2.0
58.704050382,95.60000000000001,2.0
58.713988614,96.0,2.0
58.724073099,95.2,2.0
58.73397894,95.2,2.0
58.744048175,95.60000000000001,2.0
58.754019782,95.60000000000001,2.0
58.764030641,95.2,2.0
58.773999483,95.2,2.0
58.784032592,95.2,2.0
58.794000574,96.0,2.0
58.80408181,95.60000000000001,2.0
58.8139959,95.2,2.0
58.824061385,95.60000000000001,2.0
58.834011367,96.0,2.0
58.844040601,95.60000000000001,2.0
58.854039318,95.60000000000001,2.0
58.864046428,96.0,2.0
58.874027535,95.60000000000001,2.0
58.884049394,96.0,2.0
58.89399386,95.60000000000001,2.0
58.904067095,95.60000000000001,2.0
58.913999202,95.60000000000001,2.0
58.924090688,95.60000000000001,2.0
58.934001277,95.60000000000001,2.0
58.944062653,95.60000000000001,2.0
58.95403637,95.60000000000001,2.0
58.964067355,95.60000000000001,2.0
58.974031587,96.0,2.0
58.984056946,95.2,2.0
58.993988536,95.60000000000001,2.0
59.004063396,95.60000000000001,2.0
59.013989878,95.60000000000001,2.0
59.024094239,95.60000000000001,2.0
59.033991454,95.60000000000001,2.0
59.044061564,95.60000000000001,2.0
59.054032671,96.0,2.0
59.064060656,96.0,2.0
59.074036513,95.2,2.0
59.084067857,95.60000000000001,2.0
59.094004963,95.60000000000001,2.0
59.104080323,95.60000000000001,2.0
59.114002539,95.60000000000001,2.0
59.124099666,95.60000000000001,2.0
59.134019506,95.60000000000001,2.0
59.144083366,96.0,2.0
59.154083474,95.2,2.0
59.164078942,95.2,2.0
59.174049299,95.2,2.0
59.184090534,95.2,2.0
59.19403039,96.0,2.0
59.204100875,95.60000000000001,2.0
59.214034842,95.2,2.0
59.224112077,95.60000000000001,2.0
59.234019682,96.0,2.0
59.244086668,95.60000000000001,2.0
59.2540744,95.60000000000001,2.0
59.264087619,96.0,2.0
59.274049101,95.60000000000001,2.0
59.28408746,95.60000000000001,2.0
59.294029552,96.0,2.0
59.304097177,95.60000000000001,2.0
59.314026518,95.60000000000001,2.0
59.324124879,95.60000000000001,2.0
59.334030234,95.2,2.0
59.344098579,95.60000000000001,2.0
59.354059061,95.60000000000001,2.0
59.364090295,95.60000000000001,2.0
59.374070778,95.2,2.0
59.384107387,95.60000000000001,2.0
59.394046354,95.60000000000001,2.0
59.404114589,95.60000000000001,2.0
59.41404707,94.0,2.0
59.424135056,91.60000000000001,2.0
59.434050021,88.80000000000001,2.0
59.444105881,85.60000000000001,2.0
59.454088114,82.0,2.0
59.464110973,77.60000000000001,2.0
59.474065063,71.60000000000001,2.0
59.484098549,65.60000000000001,1.0
59.49404403,61.2,1.0
59.50411689,57.2,1.0
59.51404423,54.0,1.0
59.524131841,52.0,1.0
59.534061823,50.0,1.0
59.544108433,48.800000000000004,1.0
59.554096666,48.0,1.0
59.564109024,47.6,1.0
59.574084116,48.0,1.0
59.58410885,47.2,1.0
59.594055332,46.800000000000004,1.0
59.604119192,46.400000000000006,1.0
59.614062037,45.2,1.0
59.624149777,44.800000000000004,1.0
59.634067887,44.0,1.0
59.644128126,42.800000000000004,1.0
59.654116222,42.800000000000004,1.0
59.664130335,42.0,1.0
59.674096696,40.800000000000004,1.0
59.684133185,40.0,1.0
59.69408578,39.6,1.0
59.704141019,39.2,1.0
59.714094255,38.400000000000006,1.0
59.724151744,38.0,1.0
59.734066839,37.6,1.0
59.744127094,36.800000000000004,1.0
59.754106564,36.4,1.0
59.764127802,36.0,1.0
59.774097288,35.6,1.0
59.784130512,35.6,1.0
59.794073122,35.2,1.0
59.804149112,34.800000000000004,1.0
59.814084472,34.4,1.0
59.824157586,34.4,1.0
59.834090807,34.0,1.0
59.84413967,33.6,1.0
59.854138532,33.6,1.0
59.86415952,33.2,1.0
59.874130757,33.2,1.0
59.884155479,33.2,1.0
59.89409734,32.800000000000004,1.0
59.904159329,32.800000000000004,1.0
59.914096924,33.2,1.0
59.92420218,32.4,1.0
59.934101399,32.800000000000004,1.0
59.944151138,32.4,1.0
59.954119124,32.4,1.0
59.964147597,32.800000000000004,1.0
59.974122334,32.800000000000004,1.0
59.984149322,32.800000000000004,1.0
59.994094541,32.800000000000004,1.0
60.004157546,32.4,1.0
60.014098017,32.800000000000004,1.0
60.024189632,32.800000000000004,1.0
60.034100991,32.800000000000004,1.0
60.044154605,32.800000000000004,1.0
60.054141077,32.800000000000004,1.0
60.064158565,32.4,1.0
60.074131551,32.4,1.0
60.084159914,32.4,1.0
60.094110759,32.4,1.0
60.104175624,32.4,1.0
60.11411861,32.0,1.0
60.124202349,31.6,1.0
60.134116568,32.0,1.0
60.144183307,31.200000000000003,1.0
60.15416592,31.6,1.0
60.164179407,31.6,1.0
60.174151378,31.6,1.0
60.184178007,31.6,1.0
60.194119601,31.6,1.0
60.204190217,31.6,1.0
60.214117702,31.200000000000003,1.0
60.224201316,31.200000000000003,1.0
60.234119535,31.200000000000003,1.0
60.244176274,31.200000000000003,1.0
60.254138761,31.200000000000003,1.0
60.264175875,31.200000000000003,1.0
60.27414897,30.8,1.0
60.284173833,30.400000000000002,1.0
60.294123319,30.400000000000002,1.0
60.304185309,30.8,1.0
60.314122903,30.400000000000002,1.0
60.324222643,30.8,1.0
60.334132878,30.8,1.0
60.344222743,31.200000000000003,1.0
60.354168463,30.400000000000002,1.0
60.364195326,30.400000000000002,1.0
60.374165563,30.8,1.0
60.384230552,30.400000000000002,1.0
60.394140661,30.0,1.0
60.404207886,30.0,1.0
60.414148746,29.6,1.0
60.424232861,29.200000000000003,1.0
60.434131705,28.400000000000002,1.0
60.444192709,28.8,1.0
60.45416018,28.8,1.0
60.464198169,28.8,1.0
60.47416303,29.200000000000003,1.0
60.484199018,29.200000000000003,1.0
60.494141489,28.8,1.0
60.504206853,28.8,1.0
60.514134588,28.8,1.0
60.524235328,28.8,1.0
60.534143298,28.8,1.0
60.544202537,28.8,1.0
60.554171023,28.8,1.0
60.564218136,28.8,1.0
60.574186123,28.400000000000002,1.0
60.584211846,28.400000000000002,1.0
60.594156956,28.400000000000002,1.0
60.60422657,28.400000000000002,1.0
60.614163288,28.8,1.0
60.624246166,28.0,1.0
60.634170258,28.400000000000002,1.0
60.64422362,28.8,1.0
60.654195979,28.400000000000002,1.0
60.664217573,28.400000000000002,1.0
60.674189934,28.400000000000002,1.0
60.684211544,28.8,1.0
60.694161277,28.8,1.0
60.704232514,28.400000000000002,1.0
60.714160106,28.400000000000002,1.0
60.724252095,28.8,1.0
60.734161702,28.400000000000002,1.0
60.744220814,28.400000000000002,1.0
60.754195407,28.400000000000002,1.0
60.764221392,28.0,1.0
60.774202628,28.8,1.0
60.784227113,28.400000000000002,1.0
